% Model:              me_rodliteral_losses.mph
% Version:            COMSOL 5.2.1.262
% Date:               Oct 3 2017, 22:13
% Dimension:          3
% Nodes:              65331
% Expressions:        1
% Description:        Energy (Joules)
% Length unit:        mm
% x             y              z              real(f32energy(bn,es.normE,ang))-enm
0.0000          0.0000         0.0000         0.0000
0.050000        0.0000         0.0000         0.46038
0.10000         0.0000         0.0000         0.93659
0.15000         0.0000         0.0000         1.4087
0.20000         0.0000         0.0000         1.8730
0.25000         0.0000         0.0000         2.3294
0.30000         0.0000         0.0000         2.7761
0.35000         0.0000         0.0000         3.2103
0.40000         0.0000         0.0000         3.6351
0.45000         0.0000         0.0000         4.0469
0.50000         0.0000         0.0000         4.4303
0.55000         0.0000         0.0000         4.8185
0.60000         0.0000         0.0000         5.1755
0.65000         0.0000         0.0000         5.5210
0.70000         0.0000         0.0000         5.8483
0.75000         0.0000         0.0000         6.1589
0.80000         0.0000         0.0000         6.4658
0.85000         0.0000         0.0000         6.7225
0.90000         0.0000         0.0000         6.9829
0.95000         0.0000         0.0000         7.2415
1.0000          0.0000         0.0000         7.4585
1.0500          0.0000         0.0000         7.6766
1.1000          0.0000         0.0000         7.8834
1.1500          0.0000         0.0000         8.0629
1.2000          0.0000         0.0000         8.2370
1.2500          0.0000         0.0000         8.3886
1.3000          0.0000         0.0000         8.5402
1.3500          0.0000         0.0000         8.6754
1.4000          0.0000         0.0000         8.7834
1.4500          0.0000         0.0000         8.9726
1.5000          0.0000         0.0000         9.0549
1.5500          0.0000         0.0000         9.1486
1.6000          0.0000         0.0000         9.2527
1.6500          0.0000         0.0000         9.3459
1.7000          0.0000         0.0000         9.4392
1.7500          0.0000         0.0000         9.4904
1.8000          0.0000         0.0000         9.5795
1.8500          0.0000         0.0000         9.6386
1.9000          0.0000         0.0000         9.6977
1.9500          0.0000         0.0000         9.7585
2.0000          0.0000         0.0000         9.8136
2.0500          0.0000         0.0000         9.8680
2.1000          0.0000         0.0000         9.9097
2.1500          0.0000         0.0000         9.9379
2.2000          0.0000         0.0000         9.9713
2.2500          0.0000         0.0000         9.9879
2.3000          0.0000         0.0000         10.040
2.3500          0.0000         0.0000         10.056
2.4000          0.0000         0.0000         10.080
2.4500          0.0000         0.0000         10.090
2.5000          0.0000         0.0000         10.136
2.5500          0.0000         0.0000         10.145
2.6000          0.0000         0.0000         10.174
2.6500          0.0000         0.0000         10.214
2.7000          0.0000         0.0000         10.224
2.7500          0.0000         0.0000         10.213
2.8000          0.0000         0.0000         10.203
2.8500          0.0000         0.0000         10.191
2.9000          0.0000         0.0000         10.257
2.9500          0.0000         0.0000         10.264
3.0000          0.0000         0.0000         10.281
0.0000          0.050000       0.0000         0.49339
0.050000        0.050000       0.0000         0.72675
0.10000         0.050000       0.0000         1.1357
0.15000         0.050000       0.0000         1.5773
0.20000         0.050000       0.0000         2.0277
0.25000         0.050000       0.0000         2.4727
0.30000         0.050000       0.0000         2.9135
0.35000         0.050000       0.0000         3.3454
0.40000         0.050000       0.0000         3.7663
0.45000         0.050000       0.0000         4.1730
0.50000         0.050000       0.0000         4.5664
0.55000         0.050000       0.0000         4.9422
0.60000         0.050000       0.0000         5.3022
0.65000         0.050000       0.0000         5.6427
0.70000         0.050000       0.0000         5.9667
0.75000         0.050000       0.0000         6.2748
0.80000         0.050000       0.0000         6.5681
0.85000         0.050000       0.0000         6.8463
0.90000         0.050000       0.0000         7.1091
0.95000         0.050000       0.0000         7.3415
1.0000          0.050000       0.0000         7.5698
1.0500          0.050000       0.0000         7.7839
1.1000          0.050000       0.0000         7.9591
1.1500          0.050000       0.0000         8.1864
1.2000          0.050000       0.0000         8.3455
1.2500          0.050000       0.0000         8.5001
1.3000          0.050000       0.0000         8.6504
1.3500          0.050000       0.0000         8.7985
1.4000          0.050000       0.0000         8.9380
1.4500          0.050000       0.0000         9.0329
1.5000          0.050000       0.0000         9.1589
1.5500          0.050000       0.0000         9.2728
1.6000          0.050000       0.0000         9.3642
1.6500          0.050000       0.0000         9.4556
1.7000          0.050000       0.0000         9.5470
1.7500          0.050000       0.0000         9.5862
1.8000          0.050000       0.0000         9.6907
1.8500          0.050000       0.0000         9.7357
1.9000          0.050000       0.0000         9.7945
1.9500          0.050000       0.0000         9.8532
2.0000          0.050000       0.0000         9.9101
2.0500          0.050000       0.0000         9.9608
2.1000          0.050000       0.0000         10.001
2.1500          0.050000       0.0000         10.039
2.2000          0.050000       0.0000         10.075
2.2500          0.050000       0.0000         10.119
2.3000          0.050000       0.0000         10.121
2.3500          0.050000       0.0000         10.176
2.4000          0.050000       0.0000         10.178
2.4500          0.050000       0.0000         10.199
2.5000          0.050000       0.0000         10.210
2.5500          0.050000       0.0000         10.246
2.6000          0.050000       0.0000         10.256
2.6500          0.050000       0.0000         10.279
2.7000          0.050000       0.0000         10.281
2.7500          0.050000       0.0000         10.270
2.8000          0.050000       0.0000         10.260
2.8500          0.050000       0.0000         10.350
2.9000          0.050000       0.0000         10.305
2.9500          0.050000       0.0000         10.313
3.0000          0.050000       0.0000         10.332
0.0000          0.10000        0.0000         1.0488
0.050000        0.10000        0.0000         1.2254
0.10000         0.10000        0.0000         1.5771
0.15000         0.10000        0.0000         1.9821
0.20000         0.10000        0.0000         2.4080
0.25000         0.10000        0.0000         2.8400
0.30000         0.10000        0.0000         3.2692
0.35000         0.10000        0.0000         3.6878
0.40000         0.10000        0.0000         4.1031
0.45000         0.10000        0.0000         4.5051
0.50000         0.10000        0.0000         4.8943
0.55000         0.10000        0.0000         5.2619
0.60000         0.10000        0.0000         5.6206
0.65000         0.10000        0.0000         5.9626
0.70000         0.10000        0.0000         6.2835
0.75000         0.10000        0.0000         6.5872
0.80000         0.10000        0.0000         6.8706
0.85000         0.10000        0.0000         7.1688
0.90000         0.10000        0.0000         7.4049
0.95000         0.10000        0.0000         7.6403
1.0000          0.10000        0.0000         7.8691
1.0500          0.10000        0.0000         8.0898
1.1000          0.10000        0.0000         8.2918
1.1500          0.10000        0.0000         8.4692
1.2000          0.10000        0.0000         8.6160
1.2500          0.10000        0.0000         8.8017
1.3000          0.10000        0.0000         8.9468
1.3500          0.10000        0.0000         9.0892
1.4000          0.10000        0.0000         9.2163
1.4500          0.10000        0.0000         9.3331
